Altitude (m)	Pressure (Pa)
10593.23894	24135
10582.33678	24167
10583.39974	24162
10584.99446	24175
10571.98032	24208
10523.30053	24386
10578.61752	24179
10579.14873	24167
10596.43265	24117
10608.42055	24074
10606.28804	24088
10627.63899	23992
10644.49347	23937
10630.84661	23998
10625.23414	24011
10622.56293	24017
10620.69362	24024
10613.48756	24047
10525.67468	24381
10520.1361	24403
10524.61941	24378
10533.85773	24356
10532.27326	24359
10530.9531	24356
10534.91423	24339
10538.3488	24329
10598.56251	24099
10589.51456	24142
10605.75501	24121
10556.07365	24246
10547.60311	24304
10552.36668	24280
10552.6314	24276
10557.1331	24265
10558.98749	24260
10566.40936	24218
10561.90239	24248
10562.16744	24238
10565.87899	24237
10567.73542	24227
10643.1545	23949
10576.75854	24181
10667.82784	23844
10673.73941	23813
10683.69156	23791
10691.50066	23761
10692.30894	23768
10722.54396	23648
10723.62593	23641
10720.92129	23655
10719.56932	23663
10724.97859	23634
10726.06089	23637
10726.33149	23629
10727.68462	23625
10722.2735	23644
10723.35542	23645
10726.87271	23629
10720.11008	23651
10725.51972	23645
10659.5054	23876
10629.50994	23875
10603.09036	24087
10603.62322	24086
10609.48702	24065
10611.08699	24063
10612.15382	24059
10612.15382	24052
10612.95404	24054
10624.69982	24012
10724.97859	23623
10747.46675	23546
10743.66907	23566
10733.09945	23607
10733.09945	23607
10761.58843	23503
10761.31662	23504
10758.87076	23505
10741.77092	23568
10744.48271	23564
10748.55214	23553
10750.72336	23545
10765.1228	23486
10769.74707	23478
10762.94762	23487
10779.54858	23439
10745.02518	23553
10664.33672	23856
10663.26284	23868
10664.33672	23866
10692.57838	23747
10692.0395	23758
10673.20181	23817
10672.66425	23831
10670.51437	23839
10668.63371	23840
10670.51437	23842
10669.97699	23836
10667.29065	23841
10668.36508	23851
10669.97699	23840
10672.66425	23835
10672.66425	23821
10676.42794	23815
10680.46246	23806
10684.49904	23791
10685.57581	23787
10689.88435	23765
10698.50848	23733
10720.38048	23644
10720.65088	23624
